2to3-3.12	compat-python3-rolling-core
avahi-browse	avahi-bin
avahi-browse-domains	avahi-bin
avahi-daemon	avahi-extras
avahi-dnsconfd	avahi-bin
avahi-publish	avahi-bin
avahi-publish-address	avahi-bin
avahi-publish-service	avahi-bin
avahi-resolve	avahi-bin
avahi-resolve-address	avahi-bin
avahi-resolve-host-name	avahi-bin
avahi-set-host-name	avahi-bin
avcenc	libva-utils-bin
avcstreamoutdemo	libva-utils-bin
awesome	awesome-wm-bin
awesome-client	awesome-wm-bin
awk	os-core
aws	awscli-bin
aws.cmd	awscli-bin
aws_bash_completer	awscli-bin
aws_completer	awscli-bin
aws_zsh_completer.sh	awscli-bin
awx	pypi-awxkit-bin
axel	axel-bin
axis	linuxcnc-bin
axis-remote	linuxcnc-bin
axohelp	texlive-basic
b2sum	os-core
b4	pypi-b4-bin
babeltrace	compat-babeltrace-one-bin
babeltrace-log	compat-babeltrace-one-bin
babeltrace2	babeltrace-bin
babl	babl-bin
backend-test-tools	pypi-onnx-bin
badblocks	e2fsprogs-extras
baloo_filemetadata_temp_extractor	baloo-widgets-bin
balooctl6	baloo-bin
baloosearch6	baloo-bin
balooshow6	baloo-bin
baobab	baobab-bin
base32	os-core
base64	os-core
basename	os-core
basenc	os-core
basepods	perl-pmtools-bin
bash	os-core
bashbug	bash-extras
bashdb	bashdb-bin
batch	at-bin
bats	bats-bin
bbl2bib	texlive-basic
bbox	texlive-basic
bc	bc-bin
bcachefs	bcachefs-tools-bin
bcftools	bcftools-bin
bcmserver	can-utils-bin
bcomps	graphviz-bin
bdf2gdfont.pl	perl-GD-bin
bdftogd	libgd-bin
bdftopcf	bdftopcf-bin
bdftruncate	font-util-bin
beid-update-nssdb	eid-mw-bin
bemenu	bemenu-bin
bemenu-run	bemenu-bin
bench-acos	glibc-bench
bench-acosf	glibc-bench
bench-acosh	glibc-bench
bench-acoshf	glibc-bench
bench-arc4random	glibc-bench
bench-asin	glibc-bench
bench-asinf	glibc-bench
bench-asinh	glibc-bench
bench-asinhf	glibc-bench
bench-atan	glibc-bench
bench-atan2	glibc-bench
bench-atan2f	glibc-bench
bench-atanf	glibc-bench
bench-atanh	glibc-bench
bench-atanhf	glibc-bench
bench-bsearch	glibc-bench
bench-bzero	glibc-bench
bench-bzero-large	glibc-bench
bench-calloc-simple	glibc-bench
bench-calloc-thread	glibc-bench
bench-cbrt	glibc-bench
bench-cbrtf	glibc-bench
bench-cbrtl	glibc-bench
bench-ceil	glibc-bench
bench-ceilf	glibc-bench
bench-cos	glibc-bench
bench-cosf	glibc-bench
bench-cosh	glibc-bench
bench-coshf	glibc-bench
bench-dl-elf-hash	glibc-bench
bench-dl-new-hash	glibc-bench
bench-double-vlen1-acos	glibc-bench
bench-double-vlen1-acosh	glibc-bench
bench-double-vlen1-asin	glibc-bench
bench-double-vlen1-asinh	glibc-bench
bench-double-vlen1-atan	glibc-bench
bench-double-vlen1-atan2	glibc-bench
bench-double-vlen1-atanh	glibc-bench
bench-double-vlen1-cbrt	glibc-bench
bench-double-vlen1-cos	glibc-bench
bench-double-vlen1-cosh	glibc-bench
bench-double-vlen1-erf	glibc-bench
bench-double-vlen1-erfc	glibc-bench
bench-double-vlen1-exp	glibc-bench
bench-double-vlen1-exp10	glibc-bench
bench-double-vlen1-exp2	glibc-bench
bench-double-vlen1-expm1	glibc-bench
bench-double-vlen1-hypot	glibc-bench
bench-double-vlen1-log	glibc-bench
bench-double-vlen1-log10	glibc-bench
bench-double-vlen1-log1p	glibc-bench
bench-double-vlen1-log2	glibc-bench
bench-double-vlen1-pow	glibc-bench
bench-double-vlen1-sin	glibc-bench
bench-double-vlen1-sinh	glibc-bench
bench-double-vlen1-tan	glibc-bench
bench-double-vlen1-tanh	glibc-bench
bench-double-vlen2-acos	glibc-bench
bench-double-vlen2-acosh	glibc-bench
bench-double-vlen2-asin	glibc-bench
bench-double-vlen2-asinh	glibc-bench
bench-double-vlen2-atan	glibc-bench
bench-double-vlen2-atan2	glibc-bench
bench-double-vlen2-atanh	glibc-bench
bench-double-vlen2-cbrt	glibc-bench
bench-double-vlen2-cos	glibc-bench
bench-double-vlen2-cosh	glibc-bench
bench-double-vlen2-erf	glibc-bench
bench-double-vlen2-erfc	glibc-bench
bench-double-vlen2-exp	glibc-bench
bench-double-vlen2-exp10	glibc-bench
bench-double-vlen2-exp2	glibc-bench
bench-double-vlen2-expm1	glibc-bench
bench-double-vlen2-hypot	glibc-bench
bench-double-vlen2-log	glibc-bench
bench-double-vlen2-log10	glibc-bench
bench-double-vlen2-log1p	glibc-bench
bench-double-vlen2-log2	glibc-bench
bench-double-vlen2-pow	glibc-bench
bench-double-vlen2-sin	glibc-bench
bench-double-vlen2-sinh	glibc-bench
bench-double-vlen2-tan	glibc-bench
bench-double-vlen2-tanh	glibc-bench
bench-double-vlen4-acos	glibc-bench
bench-double-vlen4-acosh	glibc-bench
bench-double-vlen4-asin	glibc-bench
bench-double-vlen4-asinh	glibc-bench
bench-double-vlen4-atan	glibc-bench
bench-double-vlen4-atan2	glibc-bench
bench-double-vlen4-atanh	glibc-bench
bench-double-vlen4-avx2-acos	glibc-bench
bench-double-vlen4-avx2-acosh	glibc-bench
bench-double-vlen4-avx2-asin	glibc-bench
bench-double-vlen4-avx2-asinh	glibc-bench
bench-double-vlen4-avx2-atan	glibc-bench
bench-double-vlen4-avx2-atan2	glibc-bench
bench-double-vlen4-avx2-atanh	glibc-bench
bench-double-vlen4-avx2-cbrt	glibc-bench
