2to3-3.12	compat-python3-rolling-core
llvm-cfi-verify-18	llvm18-bin
llvm-cfi-verify-19	llvm19-bin
llvm-cfi-verify-20	llvm-bin
llvm-cfi-verify-dpcpp	dpcpp-compiler-bin
llvm-cgdata	llvm-bin
llvm-cgdata-20	llvm-bin
llvm-cgdata-dpcpp	dpcpp-compiler-bin
llvm-config	llvm-bin
llvm-config-14	llvm14-bin
llvm-config-15	llvm15-bin
llvm-config-16	llvm16-bin
llvm-config-17	llvm17-bin
llvm-config-18	llvm18-bin
llvm-config-19	llvm19-bin
llvm-config-20	llvm-bin
llvm-config-dpcpp	dpcpp-compiler-bin
llvm-cov	llvm-bin
llvm-cov-14	llvm14-bin
llvm-cov-15	llvm15-bin
llvm-cov-16	llvm16-bin
llvm-cov-17	llvm17-bin
llvm-cov-18	llvm18-bin
llvm-cov-19	llvm19-bin
llvm-cov-20	llvm-bin
llvm-cov-dpcpp	dpcpp-compiler-bin
llvm-ctxprof-util	llvm-bin
llvm-ctxprof-util-20	llvm-bin
llvm-ctxprof-util-dpcpp	dpcpp-compiler-bin
llvm-cvtres	llvm-bin
llvm-cvtres-14	llvm14-bin
llvm-cvtres-15	llvm15-bin
llvm-cvtres-16	llvm16-bin
llvm-cvtres-17	llvm17-bin
llvm-cvtres-18	llvm18-bin
llvm-cvtres-19	llvm19-bin
llvm-cvtres-20	llvm-bin
llvm-cvtres-dpcpp	dpcpp-compiler-bin
llvm-cxxdump	llvm-bin
llvm-cxxdump-14	llvm14-bin
llvm-cxxdump-15	llvm15-bin
llvm-cxxdump-16	llvm16-bin
llvm-cxxdump-17	llvm17-bin
llvm-cxxdump-18	llvm18-bin
llvm-cxxdump-19	llvm19-bin
llvm-cxxdump-20	llvm-bin
llvm-cxxdump-dpcpp	dpcpp-compiler-bin
llvm-cxxfilt	llvm-bin
llvm-cxxfilt-14	llvm14-bin
llvm-cxxfilt-15	llvm15-bin
llvm-cxxfilt-16	llvm16-bin
llvm-cxxfilt-17	llvm17-bin
llvm-cxxfilt-18	llvm18-bin
llvm-cxxfilt-19	llvm19-bin
llvm-cxxfilt-20	llvm-bin
llvm-cxxfilt-dpcpp	dpcpp-compiler-bin
llvm-cxxmap	llvm-bin
llvm-cxxmap-14	llvm14-bin
llvm-cxxmap-15	llvm15-bin
llvm-cxxmap-16	llvm16-bin
llvm-cxxmap-17	llvm17-bin
llvm-cxxmap-18	llvm18-bin
llvm-cxxmap-19	llvm19-bin
llvm-cxxmap-20	llvm-bin
llvm-cxxmap-dpcpp	dpcpp-compiler-bin
llvm-debuginfo-analyzer	llvm-bin
llvm-debuginfo-analyzer-16	llvm16-bin
llvm-debuginfo-analyzer-17	llvm17-bin
llvm-debuginfo-analyzer-18	llvm18-bin
llvm-debuginfo-analyzer-19	llvm19-bin
llvm-debuginfo-analyzer-20	llvm-bin
llvm-debuginfo-analyzer-dpcpp	dpcpp-compiler-bin
llvm-debuginfod	llvm-bin
llvm-debuginfod-15	llvm15-bin
llvm-debuginfod-16	llvm16-bin
llvm-debuginfod-17	llvm17-bin
llvm-debuginfod-18	llvm18-bin
llvm-debuginfod-19	llvm19-bin
llvm-debuginfod-20	llvm-bin
llvm-debuginfod-dpcpp	dpcpp-compiler-bin
llvm-debuginfod-find	llvm-bin
llvm-debuginfod-find-14	llvm14-bin
llvm-debuginfod-find-15	llvm15-bin
llvm-debuginfod-find-16	llvm16-bin
llvm-debuginfod-find-17	llvm17-bin
llvm-debuginfod-find-18	llvm18-bin
llvm-debuginfod-find-19	llvm19-bin
llvm-debuginfod-find-20	llvm-bin
llvm-debuginfod-find-dpcpp	dpcpp-compiler-bin
llvm-diff	llvm-bin
llvm-diff-14	llvm14-bin
llvm-diff-15	llvm15-bin
llvm-diff-16	llvm16-bin
llvm-diff-17	llvm17-bin
llvm-diff-18	llvm18-bin
llvm-diff-19	llvm19-bin
llvm-diff-20	llvm-bin
llvm-diff-dpcpp	dpcpp-compiler-bin
llvm-dis	llvm-bin
llvm-dis-14	llvm14-bin
llvm-dis-15	llvm15-bin
llvm-dis-16	llvm16-bin
llvm-dis-17	llvm17-bin
llvm-dis-18	llvm18-bin
llvm-dis-19	llvm19-bin
llvm-dis-20	llvm-bin
llvm-dis-dpcpp	dpcpp-compiler-bin
llvm-dlltool	llvm-bin
llvm-dlltool-14	llvm14-bin
llvm-dlltool-15	llvm15-bin
llvm-dlltool-16	llvm16-bin
llvm-dlltool-17	llvm17-bin
llvm-dlltool-18	llvm18-bin
llvm-dlltool-19	llvm19-bin
llvm-dlltool-20	llvm-bin
llvm-dlltool-dpcpp	dpcpp-compiler-bin
llvm-dwarfdump	llvm-bin
llvm-dwarfdump-14	llvm14-bin
llvm-dwarfdump-15	llvm15-bin
llvm-dwarfdump-16	llvm16-bin
llvm-dwarfdump-17	llvm17-bin
llvm-dwarfdump-18	llvm18-bin
llvm-dwarfdump-19	llvm19-bin
llvm-dwarfdump-20	llvm-bin
llvm-dwarfdump-dpcpp	dpcpp-compiler-bin
llvm-dwarfutil	llvm-bin
llvm-dwarfutil-15	llvm15-bin
llvm-dwarfutil-16	llvm16-bin
llvm-dwarfutil-17	llvm17-bin
llvm-dwarfutil-18	llvm18-bin
llvm-dwarfutil-19	llvm19-bin
llvm-dwarfutil-20	llvm-bin
llvm-dwarfutil-dpcpp	dpcpp-compiler-bin
llvm-dwp	llvm-bin
llvm-dwp-14	llvm14-bin
llvm-dwp-15	llvm15-bin
llvm-dwp-16	llvm16-bin
llvm-dwp-17	llvm17-bin
llvm-dwp-18	llvm18-bin
llvm-dwp-19	llvm19-bin
llvm-dwp-20	llvm-bin
llvm-dwp-dpcpp	dpcpp-compiler-bin
llvm-exegesis	llvm-bin
llvm-exegesis-14	llvm14-bin
llvm-exegesis-15	llvm15-bin
llvm-exegesis-16	llvm16-bin
llvm-exegesis-17	llvm17-bin
llvm-exegesis-18	llvm18-bin
llvm-exegesis-19	llvm19-bin
llvm-exegesis-20	llvm-bin
llvm-exegesis-dpcpp	dpcpp-compiler-bin
llvm-extract	llvm-bin
llvm-extract-14	llvm14-bin
llvm-extract-15	llvm15-bin
llvm-extract-16	llvm16-bin
llvm-extract-17	llvm17-bin
llvm-extract-18	llvm18-bin
llvm-extract-19	llvm19-bin
llvm-extract-20	llvm-bin
llvm-extract-dpcpp	dpcpp-compiler-bin
llvm-foreach-dpcpp	dpcpp-compiler-bin
llvm-gsymutil	llvm-bin
llvm-gsymutil-14	llvm14-bin
llvm-gsymutil-15	llvm15-bin
llvm-gsymutil-16	llvm16-bin
llvm-gsymutil-17	llvm17-bin
llvm-gsymutil-18	llvm18-bin
llvm-gsymutil-19	llvm19-bin
llvm-gsymutil-20	llvm-bin
llvm-gsymutil-dpcpp	dpcpp-compiler-bin
llvm-ifs	llvm-bin
llvm-ifs-14	llvm14-bin
llvm-ifs-15	llvm15-bin
llvm-ifs-16	llvm16-bin
llvm-ifs-17	llvm17-bin
llvm-ifs-18	llvm18-bin
llvm-ifs-19	llvm19-bin
llvm-ifs-20	llvm-bin
llvm-ifs-dpcpp	dpcpp-compiler-bin
llvm-install-name-tool	llvm-bin
llvm-install-name-tool-14	llvm14-bin
llvm-install-name-tool-15	llvm15-bin
llvm-install-name-tool-16	llvm16-bin
llvm-install-name-tool-17	llvm17-bin
llvm-install-name-tool-18	llvm18-bin
llvm-install-name-tool-19	llvm19-bin
llvm-install-name-tool-20	llvm-bin
llvm-install-name-tool-dpcpp	dpcpp-compiler-bin
llvm-jitlink	llvm-bin
llvm-jitlink-14	llvm14-bin
llvm-jitlink-15	llvm15-bin
llvm-jitlink-16	llvm16-bin
llvm-jitlink-17	llvm17-bin
llvm-jitlink-18	llvm18-bin
llvm-jitlink-19	llvm19-bin
llvm-jitlink-20	llvm-bin
llvm-jitlink-dpcpp	dpcpp-compiler-bin
llvm-lib	llvm-bin
llvm-lib-14	llvm14-bin
llvm-lib-15	llvm15-bin
llvm-lib-16	llvm16-bin
llvm-lib-17	llvm17-bin
llvm-lib-18	llvm18-bin
llvm-lib-19	llvm19-bin
llvm-lib-20	llvm-bin
llvm-lib-dpcpp	dpcpp-compiler-bin
llvm-libtool-darwin	llvm-bin
llvm-libtool-darwin-14	llvm14-bin
llvm-libtool-darwin-15	llvm15-bin
llvm-libtool-darwin-16	llvm16-bin
llvm-libtool-darwin-17	llvm17-bin
llvm-libtool-darwin-18	llvm18-bin
llvm-libtool-darwin-19	llvm19-bin
llvm-libtool-darwin-20	llvm-bin
llvm-libtool-darwin-dpcpp	dpcpp-compiler-bin
llvm-link	llvm-bin
llvm-link-14	llvm14-bin
llvm-link-15	llvm15-bin
llvm-link-16	llvm16-bin
llvm-link-17	llvm17-bin
llvm-link-18	llvm18-bin
llvm-link-19	llvm19-bin
llvm-link-20	llvm-bin
llvm-link-dpcpp	dpcpp-compiler-bin
llvm-lipo	llvm-bin
llvm-lipo-14	llvm14-bin
llvm-lipo-15	llvm15-bin
llvm-lipo-16	llvm16-bin
llvm-lipo-17	llvm17-bin
llvm-lipo-18	llvm18-bin
llvm-lipo-19	llvm19-bin
llvm-lipo-20	llvm-bin
llvm-lipo-dpcpp	dpcpp-compiler-bin
llvm-lto	llvm-bin
llvm-lto-14	llvm14-bin
llvm-lto-15	llvm15-bin
llvm-lto-16	llvm16-bin
llvm-lto-17	llvm17-bin
llvm-lto-18	llvm18-bin
llvm-lto-19	llvm19-bin
llvm-lto-20	llvm-bin
llvm-lto-dpcpp	dpcpp-compiler-bin
llvm-lto2	llvm-bin
llvm-lto2-14	llvm14-bin
llvm-lto2-15	llvm15-bin
llvm-lto2-16	llvm16-bin
llvm-lto2-17	llvm17-bin
llvm-lto2-18	llvm18-bin
llvm-lto2-19	llvm19-bin
llvm-lto2-20	llvm-bin
llvm-lto2-dpcpp	dpcpp-compiler-bin
llvm-mc	llvm-bin
llvm-mc-14	llvm14-bin
llvm-mc-15	llvm15-bin
llvm-mc-16	llvm16-bin
llvm-mc-17	llvm17-bin
llvm-mc-18	llvm18-bin
llvm-mc-19	llvm19-bin
llvm-mc-20	llvm-bin
llvm-mc-dpcpp	dpcpp-compiler-bin
llvm-mca	llvm-bin
llvm-mca-14	llvm14-bin
llvm-mca-15	llvm15-bin
llvm-mca-16	llvm16-bin
llvm-mca-17	llvm17-bin
llvm-mca-18	llvm18-bin
llvm-mca-19	llvm19-bin
llvm-mca-20	llvm-bin
llvm-mca-dpcpp	dpcpp-compiler-bin
llvm-ml	llvm-bin
llvm-ml-14	llvm14-bin
llvm-ml-15	llvm15-bin
llvm-ml-16	llvm16-bin
llvm-ml-17	llvm17-bin
llvm-ml-18	llvm18-bin
llvm-ml-19	llvm19-bin
llvm-ml-20	llvm-bin
llvm-ml-dpcpp	dpcpp-compiler-bin
llvm-ml64-dpcpp	dpcpp-compiler-bin
llvm-modextract	llvm-bin
llvm-modextract-14	llvm14-bin
llvm-modextract-15	llvm15-bin
llvm-modextract-16	llvm16-bin
llvm-modextract-17	llvm17-bin
llvm-modextract-18	llvm18-bin
llvm-modextract-19	llvm19-bin
llvm-modextract-20	llvm-bin
llvm-modextract-dpcpp	dpcpp-compiler-bin
llvm-mt	llvm-bin
llvm-mt-14	llvm14-bin
llvm-mt-15	llvm15-bin
llvm-mt-16	llvm16-bin
llvm-mt-17	llvm17-bin
llvm-mt-18	llvm18-bin
llvm-mt-19	llvm19-bin
llvm-mt-20	llvm-bin
llvm-mt-dpcpp	dpcpp-compiler-bin
llvm-nm	llvm-bin
llvm-nm-14	llvm14-bin
llvm-nm-15	llvm15-bin
llvm-nm-16	llvm16-bin
llvm-nm-17	llvm17-bin
llvm-nm-18	llvm18-bin
llvm-nm-19	llvm19-bin
llvm-nm-20	llvm-bin
llvm-nm-dpcpp	dpcpp-compiler-bin
llvm-objcopy	llvm-bin
llvm-objcopy-14	llvm14-bin
llvm-objcopy-15	llvm15-bin
llvm-objcopy-16	llvm16-bin
llvm-objcopy-17	llvm17-bin
llvm-objcopy-18	llvm18-bin
llvm-objcopy-19	llvm19-bin
llvm-objcopy-20	llvm-bin
llvm-objcopy-dpcpp	dpcpp-compiler-bin
llvm-objdump	llvm-bin
llvm-objdump-14	llvm14-bin
llvm-objdump-15	llvm15-bin
llvm-objdump-16	llvm16-bin
llvm-objdump-17	llvm17-bin
llvm-objdump-18	llvm18-bin
llvm-objdump-19	llvm19-bin
llvm-objdump-20	llvm-bin
llvm-objdump-dpcpp	dpcpp-compiler-bin
llvm-opt-report	llvm-bin
llvm-opt-report-14	llvm14-bin
llvm-opt-report-15	llvm15-bin
llvm-opt-report-16	llvm16-bin
llvm-opt-report-17	llvm17-bin
llvm-opt-report-18	llvm18-bin
llvm-opt-report-19	llvm19-bin
llvm-opt-report-20	llvm-bin
llvm-opt-report-dpcpp	dpcpp-compiler-bin
llvm-otool	llvm-bin
llvm-otool-14	llvm14-bin
llvm-otool-15	llvm15-bin
llvm-otool-16	llvm16-bin
llvm-otool-17	llvm17-bin
llvm-otool-18	llvm18-bin
llvm-otool-19	llvm19-bin
llvm-otool-20	llvm-bin
llvm-otool-dpcpp	dpcpp-compiler-bin
llvm-pdbutil	llvm-bin
llvm-pdbutil-14	llvm14-bin
llvm-pdbutil-15	llvm15-bin
llvm-pdbutil-16	llvm16-bin
llvm-pdbutil-17	llvm17-bin
llvm-pdbutil-18	llvm18-bin
llvm-pdbutil-19	llvm19-bin
llvm-pdbutil-20	llvm-bin
llvm-pdbutil-dpcpp	dpcpp-compiler-bin
llvm-profdata	llvm-bin
llvm-profdata-14	llvm14-bin
llvm-profdata-15	llvm15-bin
llvm-profdata-16	llvm16-bin
llvm-profdata-17	llvm17-bin
llvm-profdata-18	llvm18-bin
llvm-profdata-19	llvm19-bin
llvm-profdata-20	llvm-bin
llvm-profdata-dpcpp	dpcpp-compiler-bin
llvm-profgen	llvm-bin
llvm-profgen-14	llvm14-bin
llvm-profgen-15	llvm15-bin
llvm-profgen-16	llvm16-bin
llvm-profgen-17	llvm17-bin
llvm-profgen-18	llvm18-bin
llvm-profgen-19	llvm19-bin
llvm-profgen-20	llvm-bin
llvm-profgen-dpcpp	dpcpp-compiler-bin
llvm-ranlib	llvm-bin
llvm-ranlib-14	llvm14-bin
llvm-ranlib-15	llvm15-bin
llvm-ranlib-16	llvm16-bin
llvm-ranlib-17	llvm17-bin
llvm-ranlib-18	llvm18-bin
llvm-ranlib-19	llvm19-bin
llvm-ranlib-20	llvm-bin
llvm-ranlib-dpcpp	dpcpp-compiler-bin
llvm-rc	llvm-bin
llvm-rc-14	llvm14-bin
llvm-rc-15	llvm15-bin
llvm-rc-16	llvm16-bin
llvm-rc-17	llvm17-bin
llvm-rc-18	llvm18-bin
llvm-rc-19	llvm19-bin
llvm-rc-20	llvm-bin
llvm-rc-dpcpp	dpcpp-compiler-bin
llvm-readelf	llvm-bin
llvm-readelf-14	llvm14-bin
llvm-readelf-15	llvm15-bin
llvm-readelf-16	llvm16-bin
llvm-readelf-17	llvm17-bin
llvm-readelf-18	llvm18-bin
llvm-readelf-19	llvm19-bin
llvm-readelf-20	llvm-bin
llvm-readelf-dpcpp	dpcpp-compiler-bin
llvm-readobj	llvm-bin
llvm-readobj-14	llvm14-bin
llvm-readobj-15	llvm15-bin
llvm-readobj-16	llvm16-bin
llvm-readobj-17	llvm17-bin
llvm-readobj-18	llvm18-bin
llvm-readobj-19	llvm19-bin
llvm-readobj-20	llvm-bin
llvm-readobj-dpcpp	dpcpp-compiler-bin
llvm-readtapi	llvm-bin
llvm-readtapi-18	llvm18-bin
llvm-readtapi-19	llvm19-bin
llvm-readtapi-20	llvm-bin
llvm-readtapi-dpcpp	dpcpp-compiler-bin
llvm-reduce	llvm-bin
llvm-reduce-14	llvm14-bin
llvm-reduce-15	llvm15-bin
llvm-reduce-16	llvm16-bin
llvm-reduce-17	llvm17-bin
llvm-reduce-18	llvm18-bin
llvm-reduce-19	llvm19-bin
llvm-reduce-20	llvm-bin
llvm-reduce-dpcpp	dpcpp-compiler-bin
llvm-remark-size-diff-15	llvm15-bin
llvm-remark-size-diff-16	llvm16-bin
llvm-remark-size-diff-17	llvm17-bin
llvm-remarkutil	llvm-bin
llvm-remarkutil-16	llvm16-bin
llvm-remarkutil-17	llvm17-bin
llvm-remarkutil-18	llvm18-bin
llvm-remarkutil-19	llvm19-bin
llvm-remarkutil-20	llvm-bin
llvm-remarkutil-dpcpp	dpcpp-compiler-bin
llvm-rtdyld	llvm-bin
llvm-rtdyld-14	llvm14-bin
llvm-rtdyld-15	llvm15-bin
llvm-rtdyld-16	llvm16-bin
llvm-rtdyld-17	llvm17-bin
llvm-rtdyld-18	llvm18-bin
llvm-rtdyld-19	llvm19-bin
llvm-rtdyld-20	llvm-bin
llvm-rtdyld-dpcpp	dpcpp-compiler-bin
llvm-sim	llvm-bin
llvm-sim-14	llvm14-bin
llvm-sim-15	llvm15-bin
llvm-sim-16	llvm16-bin
llvm-sim-17	llvm17-bin
llvm-sim-18	llvm18-bin
llvm-sim-19	llvm19-bin
llvm-sim-20	llvm-bin
llvm-sim-dpcpp	dpcpp-compiler-bin
llvm-size	llvm-bin
llvm-size-14	llvm14-bin
llvm-size-15	llvm15-bin
llvm-size-16	llvm16-bin
llvm-size-17	llvm17-bin
llvm-size-18	llvm18-bin
llvm-size-19	llvm19-bin
llvm-size-20	llvm-bin
llvm-size-dpcpp	dpcpp-compiler-bin
llvm-spirv	llvm-bin
llvm-spirv-17	llvm17-bin
llvm-spirv-18	llvm18-bin
llvm-spirv-19	llvm19-bin
llvm-spirv-20	llvm-bin
llvm-spirv-dpcpp	dpcpp-compiler-bin
llvm-split	llvm-bin
llvm-split-14	llvm14-bin
llvm-split-15	llvm15-bin
llvm-split-16	llvm16-bin
llvm-split-17	llvm17-bin
llvm-split-18	llvm18-bin
llvm-split-19	llvm19-bin
llvm-split-20	llvm-bin
llvm-split-dpcpp	dpcpp-compiler-bin
llvm-stress	llvm-bin
llvm-stress-14	llvm14-bin
llvm-stress-15	llvm15-bin
llvm-stress-16	llvm16-bin
llvm-stress-17	llvm17-bin
llvm-stress-18	llvm18-bin
llvm-stress-19	llvm19-bin
llvm-stress-20	llvm-bin
llvm-stress-dpcpp	dpcpp-compiler-bin
llvm-strings	llvm-bin
llvm-strings-14	llvm14-bin
llvm-strings-15	llvm15-bin
llvm-strings-16	llvm16-bin
llvm-strings-17	llvm17-bin
llvm-strings-18	llvm18-bin
llvm-strings-19	llvm19-bin
llvm-strings-20	llvm-bin
llvm-strings-dpcpp	dpcpp-compiler-bin
llvm-strip	llvm-bin
llvm-strip-14	llvm14-bin
llvm-strip-15	llvm15-bin
llvm-strip-16	llvm16-bin
llvm-strip-17	llvm17-bin
llvm-strip-18	llvm18-bin
llvm-strip-19	llvm19-bin
llvm-strip-20	llvm-bin
llvm-strip-dpcpp	dpcpp-compiler-bin
llvm-symbolizer	llvm-bin
llvm-symbolizer-14	llvm14-bin
llvm-symbolizer-15	llvm15-bin
llvm-symbolizer-16	llvm16-bin
llvm-symbolizer-17	llvm17-bin
llvm-symbolizer-18	llvm18-bin
llvm-symbolizer-19	llvm19-bin
llvm-symbolizer-20	llvm-bin
llvm-symbolizer-dpcpp	dpcpp-compiler-bin
llvm-tapi-diff-14	llvm14-bin
llvm-tapi-diff-15	llvm15-bin
llvm-tapi-diff-16	llvm16-bin
llvm-tapi-diff-17	llvm17-bin
llvm-tblgen	llvm-bin
llvm-tblgen-14	llvm14-bin
llvm-tblgen-15	llvm15-bin
llvm-tblgen-16	llvm16-bin
llvm-tblgen-17	llvm17-bin
llvm-tblgen-18	llvm18-bin
llvm-tblgen-19	llvm19-bin
llvm-tblgen-20	llvm-bin
llvm-tblgen-dpcpp	dpcpp-compiler-bin
llvm-tli-checker	llvm-bin
llvm-tli-checker-14	llvm14-bin
llvm-tli-checker-15	llvm15-bin
llvm-tli-checker-16	llvm16-bin
llvm-tli-checker-17	llvm17-bin
llvm-tli-checker-18	llvm18-bin
llvm-tli-checker-19	llvm19-bin
llvm-tli-checker-20	llvm-bin
llvm-tli-checker-dpcpp	dpcpp-compiler-bin
llvm-undname	llvm-bin
llvm-undname-14	llvm14-bin
llvm-undname-15	llvm15-bin
llvm-undname-16	llvm16-bin
llvm-undname-17	llvm17-bin
llvm-undname-18	llvm18-bin
llvm-undname-19	llvm19-bin
llvm-undname-20	llvm-bin
llvm-undname-dpcpp	dpcpp-compiler-bin
llvm-windres	llvm-bin
llvm-windres-14	llvm14-bin
llvm-windres-15	llvm15-bin
llvm-windres-16	llvm16-bin
llvm-windres-17	llvm17-bin
llvm-windres-18	llvm18-bin
llvm-windres-19	llvm19-bin
llvm-windres-20	llvm-bin
llvm-windres-dpcpp	dpcpp-compiler-bin
llvm-xray	llvm-bin
llvm-xray-14	llvm14-bin
llvm-xray-15	llvm15-bin
llvm-xray-16	llvm16-bin
llvm-xray-17	llvm17-bin
llvm-xray-18	llvm18-bin
llvm-xray-19	llvm19-bin
llvm-xray-20	llvm-bin
llvm-xray-dpcpp	dpcpp-compiler-bin
ln	os-core
lnewusers	libuser-bin
lnstat	iproute2-basic
lo10k1	alsa-tools-bin
load_roots	mbedtls-bin
loadjpeg	libva-utils-bin
loadkeys	kbd-bin
loadunimap	kbd-bin
lobase	libreoffice-bin
local_lsmplugin	libstoragemgmt-bin
localc	libreoffice-bin
locale	os-core
localectl	systemd-bin
localedef	glibc-locale
localsearch	tracker-miners-bin
locate	mlocate-bin
lockfile	procmail-bin
locktest	samba-bin
lodraw	libreoffice-bin
loffice	libreoffice-bin
lofromtemplate	libreoffice-bin
log2asc	can-utils-bin
log2gpx	direwolf-bin
log2journal	netdata-bin
log2long	can-utils-bin
logger	util-linux-bin
logilab-pytest	pypi-logilab_common-bin
login	util-linux-bin
loginctl	systemd-bin
logname	os-core
logoutd	os-core
logresolve	httpd-bin
logrotate	logrotate-bin
logsave	e2fsprogs-extras
loimpress	libreoffice-bin
lollipop	texlive-basic
lomath	libreoffice-bin
look	util-linux-bin
lookandfeeltool	plasma-workspace-bin
lookbib	groff-bin
losetup	util-linux-bin
loweb	libreoffice-bin
lowntfs-3g	ntfs-3g-bin
lowriter	libreoffice-bin
lp	cups-bin
lpadmin	cups-bin
lpasswd	libuser-bin
lpc	cups-bin
lpcnet_dec	LPCNet-bin
lpcnet_enc	LPCNet-bin
lpinfo	cups-bin
lpmove	cups-bin
lpoptions	cups-bin
lpq	cups-bin
lpr	cups-bin
lprm	cups-bin
lprsetup.sh	ghostscript-bin
lpstat	cups-bin
lpunlock	expect-bin
ls	os-core
lsacpi	lsacpi-bin
lsattr	e2fsprogs-bin
lsblk	util-linux-bin
lscgroup	libcgroup-bin
lsclocks	util-linux-bin
lscpu	util-linux-bin
lsdiff	patchutils-bin
lsfd	util-linux-bin
lsgpu	igt-gpu-tools-bin
lshw	lshw-bin
lsinitrd	dracut-bin
lsipc	util-linux-bin
lsirq	util-linux-bin
lskat	lskat-bin
lslocks	util-linux-bin
lslogins	util-linux-bin
lsm2bin	pypi-tifffile-bin
lsmcli	libstoragemgmt-bin
lsmd	libstoragemgmt-bin
lsmem	util-linux-bin
lsmod	kmod-bin
lsmtd	mtd-utils-bin
lsns	util-linux-bin
lsof	lsof-bin
lspci	pciutils-bin
lss16toppm	syslinux-extras-perl
lsscsi	lsscsi-bin
lssubsys	libcgroup-bin
lstb	tbtools-bin
lstopo	hwloc-extras
lstopo-no-graphics	hwloc-basic
lsusb	usbutils-bin
lsusb.py	usbutils-extras
ltdbtool	samba-bin
lto-dump	gcc
lto-dump-10	compat-gcc-10
lto-dump-11	gcc11
ltp-bump	ltp-bin
ltp-pan	ltp-bin
ltrace	ltrace-bin
lttng	lttng-tools-bin
lttng-crash	lttng-tools-bin
lttng-gen-tp	lttng-ust-bin
lttng-relayd	lttng-tools-bin
lttng-sessiond	lttng-tools-bin
ltx2crossrefxml	texlive-basic
ltxfileinfo	texlive-basic
ltximg	texlive-basic
lu.A.x	npb-bin
lu.B.x	npb-bin
lu.C.x	npb-bin
lu.D.x	npb-bin
lu.E.x	npb-bin
lu.S.x	npb-bin
lu.W.x	npb-bin
lua	lua-bin
luac	lua-bin
luacsplain	texlive-basic
luahbtex	texlive-basic
luajit	LuaJIT-bin
luajit-2.1.0-beta3	LuaJIT-bin
luajithbtex	texlive-basic
luajittex	texlive-basic
lualatex	texlive-basic
lualatex-dev	texlive-basic
luanti	luanti-bin
luantiserver	luanti-extras
luaotfload-tool	texlive-basic
luarocks	luarocks-bin
luarocks-admin	luarocks-bin
luatex	texlive-basic
luatools	texlive-basic
lur-command	libratbag-bin
luseradd	libuser-bin
luserdel	libuser-bin
lusermod	libuser-bin
lutris	lutris-bin
lv2_validate	lv2-bin
lvchange	LVM2-bin
lvconvert	LVM2-bin
lvcreate	LVM2-bin
lvdisplay	LVM2-bin
lvextend	LVM2-bin
lvm	LVM2-bin
lvm-cache-stats	libblockdev-bin
lvm_import_vdo	LVM2-bin
lvmconfig	LVM2-bin
lvmdbusd	LVM2-extras
lvmdevices	LVM2-bin
lvmdiskscan	LVM2-bin
lvmdump	LVM2-bin
lvmsadc	LVM2-bin
lvmsar	LVM2-bin
lvreduce	LVM2-bin
lvremove	LVM2-bin
lvrename	LVM2-bin
lvresize	LVM2-bin
lvs	LVM2-bin
lvscan	LVM2-bin
lwarpmk	texlive-basic
lwp-download	perl-libwww-perl-bin
lwp-dump	perl-libwww-perl-bin
lwp-mirror	perl-libwww-perl-bin
lwp-request	perl-libwww-perl-bin
lxc-attach	lxc-bin
lxc-autostart	lxc-bin
lxc-cgroup	lxc-bin
lxc-checkconfig	lxc-bin
lxc-checkpoint	lxc-bin
lxc-config	lxc-bin
lxc-console	lxc-bin
lxc-copy	lxc-bin
lxc-create	lxc-bin
lxc-destroy	lxc-bin
lxc-device	lxc-bin
lxc-execute	lxc-bin
lxc-freeze	lxc-bin
lxc-info	lxc-bin
lxc-ls	lxc-bin
lxc-monitor	lxc-bin
lxc-snapshot	lxc-bin
lxc-start	lxc-bin
lxc-stop	lxc-bin
lxc-top	lxc-bin
lxc-unfreeze	lxc-bin
lxc-unshare	lxc-bin
lxc-update-config	lxc-bin
lxc-usernsexec	lxc-bin
lxc-wait	lxc-bin
lxshortcut	libfm-bin
lxt2miner	gtkwave-bin
lxt2vcd	gtkwave-bin
lynx	lynx-bin
lyx	LyX-bin
lyxclient	LyX-bin
lz	mtools-bin
lz4	lz4-bin
lz4c	lz4-bin
lz4cat	lz4-bin
lzcat	xz-bin
lzcmp	xz-bin
lzdiff	xz-bin
lzegrep	xz-bin
lzfgrep	xz-bin
lzgrep	xz-bin
lzip	plzip-bin
lzless	xz-bin
lzma	xz-bin
lzmadec	xz-bin
lzmainfo	xz-bin
lzmore	xz-bin
lzop	lzop-bin
m-tx	texlive-basic
m17n-conv	m17n-lib-bin
m17n-date	m17n-lib-bin
m17n-dump	m17n-lib-bin
m17n-edit	m17n-lib-bin
m17n-view	m17n-lib-bin
m2gmetis	metis-bin
m4	m4-bin
mac2unix	dos2unix-bin
machinectl	systemd-bin
macho_dump	pypi-macholib-bin
macho_find	pypi-macholib-bin
macho_standalone	pypi-macholib-bin
macpack	mono-bin
mag	texlive-basic
magick	ImageMagick-bin
magick-script	ImageMagick-bin
maho600gui	linuxcnc-bin
mail	mutt-bin
mailq	postfix-bin
mailstat	procmail-bin
make	make-bin
make-file.sh	ltp-bin
make4ht	texlive-basic
make_metadata	pypi-pysaml2-bin
makealias	hunspell-bin
makecert	mono-bin
makeconv	icu4c-bin
makedb	glibc-extras
makedepend	makedepend-bin
makedtx	texlive-basic
makeglossaries	texlive-basic
makeglossaries-lite	texlive-basic
makeindex	texlive-basic
makeinfo	texinfo-bin
makejvf	texlive-basic
